"","site","hour","AVG_NO2","X","site_network_id","site_name","variable","date_started","date_ended","site_type","latitude","longitude","data_table","database_name"
"47","gib1",15,31.1464285714286,27,2,"Rosia Road","no2","2005-02-02",NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"48","gib2",15,7.10357142857143,6,6,"Bleak House","no2","2005-02-02",NA,"urban_background",36.112824,-5.350188,"measurement","gibraltar"
"49","gi4",16,52.7303571428571,35,304,"Withams Road","no2","2008-05-15",NA,"roadside",36.128068,-5.351246,"measurement","gibraltar"
"50","gib1",16,28.4142857142857,27,2,"Rosia Road","no2","2005-02-02",NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"51","gib2",16,10.6553571428571,6,6,"Bleak House","no2","2005-02-02",NA,"urban_background",36.112824,-5.350188,"measurement","gibraltar"
"52","gi4",17,56.2821428571429,35,304,"Withams Road","no2","2008-05-15",NA,"roadside",36.128068,-5.351246,"measurement","gibraltar"
"53","gib1",17,29.2339285714286,27,2,"Rosia Road","no2","2005-02-02",NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"54","gib2",17,7.37678571428571,6,6,"Bleak House","no2","2005-02-02",NA,"urban_background",36.112824,-5.350188,"measurement","gibraltar"
"55","gi4",18,50.8178571428571,35,304,"Withams Road","no2","2008-05-15",NA,"roadside",36.128068,-5.351246,"measurement","gibraltar"
"56","gib1",18,33.3321428571429,27,2,"Rosia Road","no2","2005-02-02",NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"57","gib2",18,7.92321428571429,6,6,"Bleak House","no2","2005-02-02",NA,"urban_background",36.112824,-5.350188,"measurement","gibraltar"
"58","gi4",19,68.0303571428571,35,304,"Withams Road","no2","2008-05-15",NA,"roadside",36.128068,-5.351246,"measurement","gibraltar"
"59","gib1",19,30.0535714285714,27,2,"Rosia Road","no2","2005-02-02",NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
