"","date","date_end","site","site_name","no2"
"72",2016-05-05 02:00:00,2016-05-05 03:00:00,"gi4","Withams Road",5.7375
"73",2016-05-05 03:00:00,2016-05-05 04:00:00,"gi4","Withams Road",11.475
"74",2016-05-05 04:00:00,2016-05-05 05:00:00,"gi4","Withams Road",7.65
"75",2016-05-05 05:00:00,2016-05-05 06:00:00,"gi4","Withams Road",32.5125
"76",2016-05-05 06:00:00,2016-05-05 07:00:00,"gi4","Withams Road",80.325
"77",2016-05-05 07:00:00,2016-05-05 08:00:00,"gi4","Withams Road",103.275
"78",2016-05-05 08:00:00,2016-05-05 09:00:00,"gi4","Withams Road",87.975
"79",2016-05-05 09:00:00,2016-05-05 10:00:00,"gi4","Withams Road",43.9875
"80",2016-05-05 10:00:00,2016-05-05 11:00:00,"gi4","Withams Road",93.7125
"81",2016-05-05 11:00:00,2016-05-05 12:00:00,"gi4","Withams Road",59.2875
"82",2016-05-05 12:00:00,2016-05-05 13:00:00,"gi4","Withams Road",34.425
"83",2016-05-05 13:00:00,2016-05-05 14:00:00,"gi4","Withams Road",59.2875
"84",2016-05-05 14:00:00,2016-05-05 15:00:00,"gi4","Withams Road",105.1875
"85",2016-05-05 15:00:00,2016-05-05 16:00:00,"gi4","Withams Road",91.8
"86",2016-05-05 16:00:00,2016-05-05 17:00:00,"gi4","Withams Road",13.3875
"87",2016-05-05 17:00:00,2016-05-05 18:00:00,"gi4","Withams Road",7.65
"88",2016-05-05 18:00:00,2016-05-05 19:00:00,"gi4","Withams Road",5.7375
"89",2016-05-05 19:00:00,2016-05-05 20:00:00,"gi4","Withams Road",17.2125
"90",2016-05-05 20:00:00,2016-05-05 21:00:00,"gi4","Withams Road",3.825
"91",2016-05-05 21:00:00,2016-05-05 22:00:00,"gi4","Withams Road",5.7375
"92",2016-05-05 22:00:00,2016-05-05 23:00:00,"gi4","Withams Road",9.5625
"93",2016-05-06 00:00:00,2016-05-06 01:00:00,"gi4","Withams Road",NA
"94",2016-05-06 01:00:00,2016-05-06 02:00:00,"gi4","Withams Road",7.65
"95",2016-05-06 02:00:00,2016-05-06 03:00:00,"gi4","Withams Road",19.125
"96",2016-05-06 03:00:00,2016-05-06 04:00:00,"gi4","Withams Road",17.2125
"97",2016-05-06 04:00:00,2016-05-06 05:00:00,"gi4","Withams Road",5.7375
"98",2016-05-06 05:00:00,2016-05-06 06:00:00,"gi4","Withams Road",15.3
"99",2016-05-06 06:00:00,2016-05-06 07:00:00,"gi4","Withams Road",22.95
"100",2016-05-06 07:00:00,2016-05-06 08:00:00,"gi4","Withams Road",24.8625
"101",2016-05-06 08:00:00,2016-05-06 09:00:00,"gi4","Withams Road",21.0375
"102",2016-05-06 09:00:00,2016-05-06 10:00:00,"gi4","Withams Road",19.125
"103",2016-05-06 11:00:00,2016-05-06 12:00:00,"gi4","Withams Road",26.775
"104",2016-05-06 12:00:00,2016-05-06 13:00:00,"gi4","Withams Road",24.8625
"105",2016-05-06 13:00:00,2016-05-06 14:00:00,"gi4","Withams Road",17.2125
"106",2016-05-06 14:00:00,2016-05-06 15:00:00,"gi4","Withams Road",21.0375
"107",2016-05-06 15:00:00,2016-05-06 16:00:00,"gi4","Withams Road",17.2125
"108",2016-05-06 16:00:00,2016-05-06 17:00:00,"gi4","Withams Road",24.8625
"109",2016-05-06 17:00:00,2016-05-06 18:00:00,"gi4","Withams Road",57.375
"110",2016-05-06 18:00:00,2016-05-06 19:00:00,"gi4","Withams Road",68.85
"111",2016-05-06 19:00:00,2016-05-06 20:00:00,"gi4","Withams Road",126.225
"112",2016-05-06 20:00:00,2016-05-06 21:00:00,"gi4","Withams Road",112.8375
"113",2016-05-06 21:00:00,2016-05-06 22:00:00,"gi4","Withams Road",40.1625
"114",2016-05-06 22:00:00,2016-05-06 23:00:00,"gi4","Withams Road",84.15
"115",2016-05-07 00:00:00,2016-05-07 01:00:00,"gi4","Withams Road",32.5125
"116",2016-05-07 01:00:00,2016-05-07 02:00:00,"gi4","Withams Road",17.2125
"117",2016-05-07 02:00:00,2016-05-07 03:00:00,"gi4","Withams Road",7.65
"118",2016-05-07 03:00:00,2016-05-07 04:00:00,"gi4","Withams Road",24.8625
"119",2016-05-07 04:00:00,2016-05-07 05:00:00,"gi4","Withams Road",19.125
"120",2016-05-07 05:00:00,2016-05-07 06:00:00,"gi4","Withams Road",11.475
"121",2016-05-07 06:00:00,2016-05-07 07:00:00,"gi4","Withams Road",42.075
"122",2016-05-07 07:00:00,2016-05-07 08:00:00,"gi4","Withams Road",30.6
"123",2016-05-07 08:00:00,2016-05-07 09:00:00,"gi4","Withams Road",21.0375
"124",2016-05-07 09:00:00,2016-05-07 10:00:00,"gi4","Withams Road",22.95
"125",2016-05-07 10:00:00,2016-05-07 11:00:00,"gi4","Withams Road",19.125
"126",2016-05-07 11:00:00,2016-05-07 12:00:00,"gi4","Withams Road",15.3
"127",2016-05-07 12:00:00,2016-05-07 13:00:00,"gi4","Withams Road",19.125
"128",2016-05-07 13:00:00,2016-05-07 14:00:00,"gi4","Withams Road",47.8125
"129",2016-05-07 14:00:00,2016-05-07 15:00:00,"gi4","Withams Road",21.0375
"130",2016-05-07 15:00:00,2016-05-07 16:00:00,"gi4","Withams Road",7.65
"131",2016-05-07 16:00:00,2016-05-07 17:00:00,"gi4","Withams Road",9.5625
"132",2016-05-07 17:00:00,2016-05-07 18:00:00,"gi4","Withams Road",9.5625
"133",2016-05-07 18:00:00,2016-05-07 19:00:00,"gi4","Withams Road",17.2125
"134",2016-05-07 19:00:00,2016-05-07 20:00:00,"gi4","Withams Road",40.1625
"135",2016-05-07 20:00:00,2016-05-07 21:00:00,"gi4","Withams Road",24.8625
"136",2016-05-07 21:00:00,2016-05-07 22:00:00,"gi4","Withams Road",19.125
"137",2016-05-07 22:00:00,2016-05-07 23:00:00,"gi4","Withams Road",13.3875
"138",2016-05-08 00:00:00,2016-05-08 01:00:00,"gi4","Withams Road",38.25
"139",2016-05-08 01:00:00,2016-05-08 02:00:00,"gi4","Withams Road",3.825
"140",2016-05-08 02:00:00,2016-05-08 03:00:00,"gi4","Withams Road",5.7375
"141",2016-05-08 03:00:00,2016-05-08 04:00:00,"gi4","Withams Road",5.7375
"142",2016-05-08 04:00:00,2016-05-08 05:00:00,"gi4","Withams Road",3.825
"143",2016-05-08 05:00:00,2016-05-08 06:00:00,"gi4","Withams Road",3.825
"144",2016-05-08 06:00:00,2016-05-08 07:00:00,"gi4","Withams Road",5.7375
"145",2016-05-08 07:00:00,2016-05-08 08:00:00,"gi4","Withams Road",1.9125
"146",2016-05-08 08:00:00,2016-05-08 09:00:00,"gi4","Withams Road",5.7375
"147",2016-05-08 09:00:00,2016-05-08 10:00:00,"gi4","Withams Road",5.7375
"148",2016-05-08 10:00:00,2016-05-08 11:00:00,"gi4","Withams Road",11.475
"149",2016-05-08 11:00:00,2016-05-08 12:00:00,"gi4","Withams Road",24.8625
