"","modelbaseversion","suppliercountry","suppliernationalidentifier","publicationlanguage","publicationtime","publicationcountry","publicationnationalidentifier","confidentiality","informationstatus","locationsetreference","elaborateddataid","suppliercalculateddataquality","openlrbinary","predefinedlocationreference","freeflowspeed","freeflowtraveltime","traveltime","averagespeed"
"1",1,"nl","TomTom Traffic Service","en",2016-05-18 10:00:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc2f2319b45db26d2d605cc14",50,"C/wvIxm0XQsmDQLWAFwMFA==","OpenLR",0,0,0,0
"2",1,"nl","TomTom Traffic Service","en",2016-05-18 10:00:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc30ef19b472a394fee3037c5",50,"C/ww7xm0cgo5BP7jADcMBQ==","OpenLR",0,0,0,0
"3",1,"nl","TomTom Traffic Service","en",2016-05-18 10:00:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc30ef19b472c300fffffffac0",50,"C/ww7xm0cgwwAP////oMAA==","OpenLR",0,0,1.05,23.9
"4",1,"nl","TomTom Traffic Service","en",2016-05-18 10:00:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc30f719b46da2c50ecff70c10",52,"C/ww9xm0bQosBQDs/3AMEA==","OpenLR",0,0,72.95,15.1
"5",1,"nl","TomTom Traffic Service","en",2016-05-18 10:00:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc30f719b46dc2200509c12",50,"C/ww9xm0bQwiAAAFAAkMEg==","OpenLR",0,0,0,0
"6",1,"nl","TomTom Traffic Service","en",2016-05-18 10:00:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc306a19b48cb38cfd41ff9bb6",50,"C/wwahm0jAs4DP1B/5sLBg==","OpenLR",0,0,0,0
"7",1,"nl","TomTom Traffic Service","en",2016-05-18 10:00:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc307519b488a294118ffc6c19",50,"C/wwdRm0iAopBAEY/8YMGQ==","OpenLR",0,0,0,0
"8",1,"nl","TomTom Traffic Service","en",2016-05-18 10:00:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc307519b488c2100207c11",50,"C/wwdRm0iAwhAAACAAcMEQ==","OpenLR",0,0,0,0
"9",1,"nl","TomTom Traffic Service","en",2016-05-18 10:00:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc31d219b446a2960d10dbca",80,"C/wx0hm0RgopBgDRANsMCg==","OpenLR",0,0,0,0
"10",1,"nl","TomTom Traffic Service","en",2016-05-18 10:00:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc31d219b446b3a2ff8203ac1",87,"C/wx0hm0Rgs6Av+CADoMAQ==","OpenLR",0,0,24,21
"11",1,"nl","TomTom Traffic Service","en",2016-05-18 10:00:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc315c19b429a394ff1509ec3",61,"C/wxXBm0KQo5BP8VAJ4MAw==","OpenLR",0,0,54.57,19
"12",1,"nl","TomTom Traffic Service","en",2016-05-18 10:00:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc315c19b429c310fffefff9c1",50,"C/wxXBm0KQwxAP/+//kMAQ==","OpenLR",0,0,1.63,15.5
