"","site_network_id","site","site_name","variable","date_started","date_ended","site_type","latitude","longitude","data_table","database_name"
"49",322,"gi8","Bruce's Farm","pres",2013-09-20,NA,"suburban",36.140621,-5.347991,"measurement","gibraltar"
"50",325,"gi8","Bruce's Farm","sol",2013-12-01,NA,"suburban",36.140621,-5.347991,"measurement","gibraltar"
"51",323,"gi8","Bruce's Farm","rain",2013-12-01,NA,"suburban",36.140621,-5.347991,"measurement","gibraltar"
"52",324,"gi8","Bruce's Farm","rh",2013-12-01,NA,"suburban",36.140621,-5.347991,"measurement","gibraltar"
"53",321,"gi8","Bruce's Farm","wd",2013-12-01,NA,"suburban",36.140621,-5.347991,"measurement","gibraltar"
"54",336,"gi9","Caleta Palace Hotel","rain",2014-04-22,NA,NA,36.137444,-5.340869,"measurement","gibraltar"
"55",335,"gi9","Caleta Palace Hotel","rh",2014-04-22,NA,NA,36.137444,-5.340869,"measurement","gibraltar"
"56",334,"gi9","Caleta Palace Hotel","sol",2014-04-22,NA,NA,36.137444,-5.340869,"measurement","gibraltar"
"57",337,"gi9","Caleta Palace Hotel","pres",2014-04-30,NA,NA,36.137444,-5.340869,"measurement","gibraltar"
"58",333,"gi9","Caleta Palace Hotel","ws",2014-04-22,NA,NA,36.137444,-5.340869,"measurement","gibraltar"
"59",331,"gi9","Caleta Palace Hotel","temp",2014-04-22,NA,NA,36.137444,-5.340869,"measurement","gibraltar"
"60",332,"gi9","Caleta Palace Hotel","wd",2014-04-22,NA,NA,36.137444,-5.340869,"measurement","gibraltar"
"61",174,"gib15","Catalan Bay Road","toluene",2005-02-02,NA,"suburban",36.142964,-5.340263,"md_measurement","gibraltar"
"62",170,"gib15","Catalan Bay Road","benzene",2005-02-02,NA,"suburban",36.142964,-5.340263,"md_measurement","gibraltar"
"63",172,"gib15","Catalan Bay Road","mpxylene",2005-02-02,NA,"suburban",36.142964,-5.340263,"md_measurement","gibraltar"
"64",173,"gib15","Catalan Bay Road","oxylene",2005-02-02,NA,"suburban",36.142964,-5.340263,"md_measurement","gibraltar"
