"","modelbaseversion","suppliercountry","suppliernationalidentifier","publicationlanguage","publicationtime","publicationcountry","publicationnationalidentifier","situationid","situationconfidentiality","situationinformationstatus","situationurgency","situationrecordid","situationrecordcreationtime","situationrecordversion","situationrecordversiontime","situationrecordfirstsupplierversiontime","probabilityofoccurrence","validitystatus","overallstarttime","delaytimevalue","openlrbinary","openlrversion","alertceventcode","abnormaltraffictype","averagespeed","effectonroadlayout","roadmaintenancetype","roadmaintenancevalue","roadmaintenancelang","constructionworktype","networkmanagementtype","vehicleobstructiontype","accidenttype","obstructiontype","environmentalobstructiontype","poorenvironmenttype"
"11",1,"nl","TomTom Traffic Service","en",2016-04-13 09:44:30,"other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144-1",2016-04-13 07:30:30,11,2016-04-13 09:44:30,2016-04-13 09:44:30,"probable","active",2016-04-13 07:30:30,795,"C/wxVRm14gw+DAIy/+0LAA==",3,101,"stationaryTraffic",3,"","","","","","","","","","",""
"12",1,"nl","TomTom Traffic Service","en",2016-04-13 09:58:30,"other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144-1",2016-04-13 07:30:30,13,2016-04-13 09:58:30,2016-04-13 09:58:30,"probable","active",2016-04-13 07:30:30,697,"C/wxUxm13gooCwI4//cLAA==",3,101,"stationaryTraffic",3,"","","","","","","","","","",""
"13",1,"nl","TomTom Traffic Service","en",2016-04-13 10:13:36,"other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144-1",2016-04-13 07:30:30,14,2016-04-13 10:13:36,2016-04-13 10:13:36,"probable","active",2016-04-13 07:30:30,437,"C/wxuRm1/wskBwFc/68LAA==",3,101,"stationaryTraffic",3,"","","","","","","","","","",""
"14",1,"nl","TomTom Traffic Service","en",2016-04-13 10:29:04,"other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144-1",2016-04-13 07:30:30,16,2016-04-13 10:29:04,2016-04-13 10:29:04,"probable","active",2016-04-13 07:30:30,516,"C/wxUxm13gooDAIu/6YKIBI=",3,108,"queueingTraffic",4,"","","","","","","","","","",""
"15",1,"nl","TomTom Traffic Service","en",2016-04-13 10:43:00,"other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144-1",2016-04-13 07:30:30,18,2016-04-13 10:43:00,2016-04-13 10:43:00,"probable","active",2016-04-13 07:30:30,697,"C/wxUxm13gooCwI4//cLAA==",3,101,"stationaryTraffic",3,"","","","","","","","","","",""
"16",1,"nl","TomTom Traffic Service","en",2016-04-13 10:59:30,"other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144-1",2016-04-13 07:30:30,19,2016-04-13 10:59:30,2016-04-13 10:59:30,"probable","active",2016-04-13 07:30:30,748,"C/wxUxm13gooDAIu/6YKIAc=",3,101,"stationaryTraffic",3,"","","","","","","","","","",""
"17",1,"nl","TomTom Traffic Service","en",2016-04-13 11:13:30,"other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144-1",2016-04-13 07:30:30,21,2016-04-13 11:13:30,2016-04-13 11:13:30,"probable","active",2016-04-13 07:30:30,722,"C/wxUxm13gooDAIu/6YKIBI=",3,101,"stationaryTraffic",3,"","","","","","","","","","",""
"18",1,"nl","TomTom Traffic Service","en",2016-04-13 11:28:36,"other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144981817587392","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144981817587392-1",2016-04-13 11:23:00,1,2016-04-13 11:28:36,2016-04-13 11:28:36,"probable","active",2016-04-13 11:23:00,212,"C/wxJRm0DSOQCv/U/f0jXyE=",3,108,"queueingTraffic",7,"","","","","","","","","","",""
"19",1,"nl","TomTom Traffic Service","en",2016-04-13 11:28:36,"other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144-1",2016-04-13 07:30:30,31,2016-04-13 11:28:36,2016-04-13 11:28:36,"probable","active",2016-04-13 07:30:30,722,"C/wxUxm13gooDAIu/6YKIBI=",3,101,"stationaryTraffic",3,"","","","","","","","","","",""
"20",1,"nl","TomTom Traffic Service","en",2016-04-13 11:43:30,"other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144981817587392","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144981817587392-1",2016-04-13 11:23:00,1,2016-04-13 11:43:30,2016-04-13 11:43:30,"probable","active",2016-04-13 11:23:00,212,"C/wxJRm0DSOQCv/U/f0jXyE=",3,108,"queueingTraffic",7,"","","","","","","","","","",""
