"","date","date_end","site","site_name","no2"
"72",2016-05-01 02:00:00,2016-05-01 03:00:00,"gi4","Withams Road",32.5125
"73",2016-05-01 03:00:00,2016-05-01 04:00:00,"gi4","Withams Road",13.3875
"74",2016-05-01 04:00:00,2016-05-01 05:00:00,"gi4","Withams Road",7.65
"75",2016-05-01 05:00:00,2016-05-01 06:00:00,"gi4","Withams Road",5.7375
"76",2016-05-01 06:00:00,2016-05-01 07:00:00,"gi4","Withams Road",17.2125
"77",2016-05-01 07:00:00,2016-05-01 08:00:00,"gi4","Withams Road",30.6
"78",2016-05-01 08:00:00,2016-05-01 09:00:00,"gi4","Withams Road",43.9875
"79",2016-05-01 09:00:00,2016-05-01 10:00:00,"gi4","Withams Road",59.2875
"80",2016-05-01 10:00:00,2016-05-01 11:00:00,"gi4","Withams Road",53.55
"81",2016-05-01 11:00:00,2016-05-01 12:00:00,"gi4","Withams Road",66.9375
"82",2016-05-01 12:00:00,2016-05-01 13:00:00,"gi4","Withams Road",63.1125
"83",2016-05-01 13:00:00,2016-05-01 14:00:00,"gi4","Withams Road",68.85
"84",2016-05-01 14:00:00,2016-05-01 15:00:00,"gi4","Withams Road",72.675
"85",2016-05-01 15:00:00,2016-05-01 16:00:00,"gi4","Withams Road",26.775
"86",2016-05-01 16:00:00,2016-05-01 17:00:00,"gi4","Withams Road",43.9875
"87",2016-05-01 17:00:00,2016-05-01 18:00:00,"gi4","Withams Road",66.9375
"88",2016-05-01 18:00:00,2016-05-01 19:00:00,"gi4","Withams Road",40.1625
"89",2016-05-01 19:00:00,2016-05-01 20:00:00,"gi4","Withams Road",55.4625
"90",2016-05-01 20:00:00,2016-05-01 21:00:00,"gi4","Withams Road",82.2375
"91",2016-05-01 21:00:00,2016-05-01 22:00:00,"gi4","Withams Road",74.5875
"92",2016-05-01 22:00:00,2016-05-01 23:00:00,"gi4","Withams Road",82.2375
"93",2016-05-02 00:00:00,2016-05-02 01:00:00,"gi4","Withams Road",30.6
"94",2016-05-02 01:00:00,2016-05-02 02:00:00,"gi4","Withams Road",21.0375
"95",2016-05-02 02:00:00,2016-05-02 03:00:00,"gi4","Withams Road",9.5625
"96",2016-05-02 03:00:00,2016-05-02 04:00:00,"gi4","Withams Road",30.6
"97",2016-05-02 04:00:00,2016-05-02 05:00:00,"gi4","Withams Road",30.6
"98",2016-05-02 05:00:00,2016-05-02 06:00:00,"gi4","Withams Road",28.6875
"99",2016-05-02 06:00:00,2016-05-02 07:00:00,"gi4","Withams Road",34.425
"100",2016-05-02 07:00:00,2016-05-02 08:00:00,"gi4","Withams Road",63.1125
"101",2016-05-02 08:00:00,2016-05-02 09:00:00,"gi4","Withams Road",63.1125
"102",2016-05-02 09:00:00,2016-05-02 10:00:00,"gi4","Withams Road",74.5875
"103",2016-05-02 10:00:00,2016-05-02 11:00:00,"gi4","Withams Road",66.9375
"104",2016-05-02 11:00:00,2016-05-02 12:00:00,"gi4","Withams Road",66.9375
"105",2016-05-02 12:00:00,2016-05-02 13:00:00,"gi4","Withams Road",72.675
"106",2016-05-02 13:00:00,2016-05-02 14:00:00,"gi4","Withams Road",72.675
"107",2016-05-02 14:00:00,2016-05-02 15:00:00,"gi4","Withams Road",59.2875
"108",2016-05-02 15:00:00,2016-05-02 16:00:00,"gi4","Withams Road",72.675
"109",2016-05-02 16:00:00,2016-05-02 17:00:00,"gi4","Withams Road",65.025
"110",2016-05-02 17:00:00,2016-05-02 18:00:00,"gi4","Withams Road",63.1125
"111",2016-05-02 18:00:00,2016-05-02 19:00:00,"gi4","Withams Road",43.9875
"112",2016-05-02 19:00:00,2016-05-02 20:00:00,"gi4","Withams Road",63.1125
"113",2016-05-02 20:00:00,2016-05-02 21:00:00,"gi4","Withams Road",86.0625
"114",2016-05-02 21:00:00,2016-05-02 22:00:00,"gi4","Withams Road",78.4125
"115",2016-05-02 22:00:00,2016-05-02 23:00:00,"gi4","Withams Road",72.675
"116",2016-05-03 00:00:00,2016-05-03 01:00:00,"gi4","Withams Road",NA
"117",2016-05-03 01:00:00,2016-05-03 02:00:00,"gi4","Withams Road",72.675
"118",2016-05-03 02:00:00,2016-05-03 03:00:00,"gi4","Withams Road",89.8875
"119",2016-05-03 03:00:00,2016-05-03 04:00:00,"gi4","Withams Road",80.325
"120",2016-05-03 04:00:00,2016-05-03 05:00:00,"gi4","Withams Road",86.0625
"121",2016-05-03 05:00:00,2016-05-03 06:00:00,"gi4","Withams Road",78.4125
"122",2016-05-03 06:00:00,2016-05-03 07:00:00,"gi4","Withams Road",87.975
"123",2016-05-03 07:00:00,2016-05-03 08:00:00,"gi4","Withams Road",112.8375
"124",2016-05-03 08:00:00,2016-05-03 09:00:00,"gi4","Withams Road",120.4875
"125",2016-05-03 09:00:00,2016-05-03 10:00:00,"gi4","Withams Road",87.975
"126",2016-05-03 10:00:00,2016-05-03 11:00:00,"gi4","Withams Road",120.4875
"127",2016-05-03 11:00:00,2016-05-03 12:00:00,"gi4","Withams Road",137.7
"128",2016-05-03 12:00:00,2016-05-03 13:00:00,"gi4","Withams Road",126.225
"129",2016-05-03 13:00:00,2016-05-03 14:00:00,"gi4","Withams Road",126.225
"130",2016-05-03 14:00:00,2016-05-03 15:00:00,"gi4","Withams Road",130.05
"131",2016-05-03 15:00:00,2016-05-03 16:00:00,"gi4","Withams Road",97.5375
"132",2016-05-03 16:00:00,2016-05-03 17:00:00,"gi4","Withams Road",99.45
"133",2016-05-03 17:00:00,2016-05-03 18:00:00,"gi4","Withams Road",143.4375
"134",2016-05-03 18:00:00,2016-05-03 19:00:00,"gi4","Withams Road",110.925
"135",2016-05-03 19:00:00,2016-05-03 20:00:00,"gi4","Withams Road",133.875
