"","modelbaseversion","suppliercountry","suppliernationalidentifier","publicationlanguage","publicationtime","publicationcountry","publicationnationalidentifier","confidentiality","informationstatus","locationsetreference","elaborateddataid","suppliercalculateddataquality","openlrbinary","predefinedlocationreference","freeflowspeed","freeflowtraveltime","traveltime","averagespeed"
"23",1,"nl","TomTom Traffic Service","en",2016-05-07 00:14:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc325019b551a2150440f4ce",72,"C/wyUBm1UQohBQBEAPQMDg==","OpenLR",0,0,0,0
"24",1,"nl","TomTom Traffic Service","en",2016-05-07 00:14:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc325019b551b304ffe8ff27b0",87,"C/wyUBm1UQswBP/o/ycLAA==","OpenLR",0,0,0,0
"25",1,"nl","TomTom Traffic Service","en",2016-05-07 00:14:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc326f19b5c3b27702808cb3011",50,"C/wybxm1wwsnBwAoAIwLMBE=","OpenLR",0,0,0,0
"26",1,"nl","TomTom Traffic Service","en",2016-05-07 00:14:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc326f19b5c3c370ffeefffbc5",50,"C/wybxm1www3AP/u//sMBQ==","OpenLR",0,0,0,0
"27",1,"nl","TomTom Traffic Service","en",2016-05-07 00:29:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc2f2319b45db26d2d605cc14",50,"C/wvIxm0XQsmDQLWAFwMFA==","OpenLR",0,0,0,0
"28",1,"nl","TomTom Traffic Service","en",2016-05-07 00:29:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc30ef19b472a394fee3037c5",96,"C/ww7xm0cgo5BP7jADcMBQ==","OpenLR",0,0,0,0
"29",1,"nl","TomTom Traffic Service","en",2016-05-07 00:29:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc30ef19b472c300fffffffac0",94,"C/ww7xm0cgwwAP////oMAA==","OpenLR",0,0,0,0
"30",1,"nl","TomTom Traffic Service","en",2016-05-07 00:29:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc30f719b46da2c50ecff70c10",95,"C/ww9xm0bQosBQDs/3AMEA==","OpenLR",0,0,0,0
"31",1,"nl","TomTom Traffic Service","en",2016-05-07 00:29:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc30f719b46dc2200509c12",50,"C/ww9xm0bQwiAAAFAAkMEg==","OpenLR",0,0,0,0
"32",1,"nl","TomTom Traffic Service","en",2016-05-07 00:29:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc306a19b48cb38cfd41ff9bb6",50,"C/wwahm0jAs4DP1B/5sLBg==","OpenLR",0,0,0,0
"33",1,"nl","TomTom Traffic Service","en",2016-05-07 00:29:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc307519b488a294118ffc6c19",52,"C/wwdRm0iAopBAEY/8YMGQ==","OpenLR",0,0,0,0
"34",1,"nl","TomTom Traffic Service","en",2016-05-07 00:29:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc307519b488c2100207c11",50,"C/wwdRm0iAwhAAACAAcMEQ==","OpenLR",0,0,0,0
"35",1,"nl","TomTom Traffic Service","en",2016-05-07 00:29:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc31d219b446a2960d10dbca",94,"C/wx0hm0RgopBgDRANsMCg==","OpenLR",0,0,0,0
"36",1,"nl","TomTom Traffic Service","en",2016-05-07 00:29:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc31d219b446b3a2ff8203ac1",95,"C/wx0hm0Rgs6Av+CADoMAQ==","OpenLR",0,0,0,0
"37",1,"nl","TomTom Traffic Service","en",2016-05-07 00:29:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc315c19b429a394ff1509ec3",96,"C/wxXBm0KQo5BP8VAJ4MAw==","OpenLR",0,0,43.38,23.9
"38",1,"nl","TomTom Traffic Service","en",2016-05-07 00:29:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc315c19b429c310fffefff9c1",50,"C/wxXBm0KQwxAP/+//kMAQ==","OpenLR",0,0,0,0
"39",1,"nl","TomTom Traffic Service","en",2016-05-07 00:29:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc316519b42ab242073078c17",95,"C/wxZRm0KgskAgBzAHgMFw==","OpenLR",0,0,0,0
"40",1,"nl","TomTom Traffic Service","en",2016-05-07 00:29:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc319719b461b333ff82ff87c3",94,"C/wxlxm0YQszA/+C/4cMAw==","OpenLR",0,0,0,0
"41",1,"nl","TomTom Traffic Service","en",2016-05-07 00:29:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc319b19b462b292076ffc5b1a",95,"C/wxmxm0YgspAgB2/8ULGg==","OpenLR",0,0,0,0
"42",1,"nl","TomTom Traffic Service","en",2016-05-07 00:29:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc322a19b4a4a2f5ff44ff37a7",95,"C/wyKhm0pAovBf9E/zcKBw==","OpenLR",0,0,0,0
"43",1,"nl","TomTom Traffic Service","en",2016-05-07 00:29:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc322a19b4a4c2b0016fff8c19",50,"C/wyKhm0pAwrAAAW//gMGQ==","OpenLR",0,0,0,0
"44",1,"nl","TomTom Traffic Service","en",2016-05-07 00:29:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc323319b4aca202025089a10",81,"C/wyMxm0rAogAgAlAIkKEA==","OpenLR",0,0,0,0
"45",1,"nl","TomTom Traffic Service","en",2016-05-07 00:29:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc323319b4acc370fff4ffffc7",93,"C/wyMxm0rAw3AP/0//8MBw==","OpenLR",0,0,0,0
"46",1,"nl","TomTom Traffic Service","en",2016-05-07 00:29:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc324319b61b27801cfe87a5f27",81,"C/wyQxm2AQsnCAAc/ocKXyc=","OpenLR",0,0,186.08,7.7
"47",1,"nl","TomTom Traffic Service","en",2016-05-07 00:29:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc324519b4eca323ffc6ff65c1f",93,"C/wyRRm07AoyA//G/2UMHw==","OpenLR",0,0,0,0
"48",1,"nl","TomTom Traffic Service","en",2016-05-07 00:29:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc324519b4ecb2040180d9b10",81,"C/wyRRm07AsgBAAYANkLEA==","OpenLR",0,0,0,0
