"","date","date_end","site","site_name","no2"
"72",2016-04-15 03:00:00,2016-04-15 04:00:00,"gi4","Withams Road",13.3875
"73",2016-04-15 04:00:00,2016-04-15 05:00:00,"gi4","Withams Road",38.25
"74",2016-04-15 05:00:00,2016-04-15 06:00:00,"gi4","Withams Road",21.0375
"75",2016-04-15 06:00:00,2016-04-15 07:00:00,"gi4","Withams Road",30.6
"76",2016-04-15 07:00:00,2016-04-15 08:00:00,"gi4","Withams Road",78.4125
"77",2016-04-15 08:00:00,2016-04-15 09:00:00,"gi4","Withams Road",57.375
"78",2016-04-15 09:00:00,2016-04-15 10:00:00,"gi4","Withams Road",32.5125
"79",2016-04-15 10:00:00,2016-04-15 11:00:00,"gi4","Withams Road",49.725
"80",2016-04-15 11:00:00,2016-04-15 12:00:00,"gi4","Withams Road",53.55
"81",2016-04-15 12:00:00,2016-04-15 13:00:00,"gi4","Withams Road",38.25
"82",2016-04-15 13:00:00,2016-04-15 14:00:00,"gi4","Withams Road",49.725
"83",2016-04-15 14:00:00,2016-04-15 15:00:00,"gi4","Withams Road",82.2375
"84",2016-04-15 15:00:00,2016-04-15 16:00:00,"gi4","Withams Road",126.225
"85",2016-04-15 16:00:00,2016-04-15 17:00:00,"gi4","Withams Road",112.8375
"86",2016-04-15 17:00:00,2016-04-15 18:00:00,"gi4","Withams Road",126.225
"87",2016-04-15 18:00:00,2016-04-15 19:00:00,"gi4","Withams Road",110.925
"88",2016-04-15 19:00:00,2016-04-15 20:00:00,"gi4","Withams Road",89.8875
"89",2016-04-15 20:00:00,2016-04-15 21:00:00,"gi4","Withams Road",59.2875
"90",2016-04-15 21:00:00,2016-04-15 22:00:00,"gi4","Withams Road",32.5125
"91",2016-04-15 22:00:00,2016-04-15 23:00:00,"gi4","Withams Road",22.95
"92",2016-04-16 00:00:00,2016-04-16 01:00:00,"gi4","Withams Road",22.95
"93",2016-04-16 01:00:00,2016-04-16 02:00:00,"gi4","Withams Road",28.6875
"94",2016-04-16 02:00:00,2016-04-16 03:00:00,"gi4","Withams Road",38.25
"95",2016-04-16 03:00:00,2016-04-16 04:00:00,"gi4","Withams Road",30.6
"96",2016-04-16 04:00:00,2016-04-16 05:00:00,"gi4","Withams Road",17.2125
"97",2016-04-16 05:00:00,2016-04-16 06:00:00,"gi4","Withams Road",11.475
"98",2016-04-16 06:00:00,2016-04-16 07:00:00,"gi4","Withams Road",1.9125
"99",2016-04-16 07:00:00,2016-04-16 08:00:00,"gi4","Withams Road",7.65
"100",2016-04-16 08:00:00,2016-04-16 09:00:00,"gi4","Withams Road",21.0375
"101",2016-04-16 09:00:00,2016-04-16 10:00:00,"gi4","Withams Road",66.9375
